subject,language,mean_dwell_time,n_transitions,flexibility,state_0_fraction,state_1_fraction,state_2_fraction,state_3_fraction,state_4_fraction
sub-EN096,English,4.269071766047572,32.2,0.22973570721543174,0.09883517823415959,0.015295157299399082,0.39268593404315477,0.24919230153245056,0.24399142889083594
sub-EN097,English,5.2756410256410255,27.0,0.1906615249839601,0.024496517974778843,0.08347997687594119,0.22237073651782477,0.41586990563839993,0.2537828629930552
sub-EN098,English,4.294940170940171,32.8,0.23186984628294205,0.004483159117305459,0.1408225263402776,0.4009796586000789,0.27406331041941095,0.1796513455229271
sub-EN099,English,5.3439866886925715,27.2,0.197182624653089,0.005694164989939638,0.08426398036019711,0.40960259969146795,0.12761294396411568,0.3728263109942796
sub-EN100,English,6.303788577014384,21.8,0.15756286166499303,0.004878048780487805,0.02189411671675349,0.5844253651346686,0.14737269401944622,0.2414297753486438
sub-EN101,English,5.780088561324258,26.0,0.18286888528057707,0.038859498454139475,0.049706059228858804,0.15209897322170113,0.3956104039643239,0.36372506513097674
sub-EN103,English,5.27344958956836,26.4,0.18675684170254986,0.0,0.14270866239889285,0.16985667855262943,0.3084058927943444,0.3790287662541333
sub-EN104,English,5.493642858301302,25.6,0.18411398304024473,0.0014285714285714286,0.14385063619287627,0.21539096722434287,0.2926876358249112,0.3466421893292982
sub-EN105,English,4.706239316239317,29.2,0.21081103155453818,0.028361075544174136,0.08031994272909541,0.21500985151889518,0.3331770422658061,0.34313208794202926
sub-EN106,English,4.850046673756351,28.8,0.20944581464169834,0.08557638578668256,0.0898774174013521,0.16285672517058714,0.3530413723706033,0.30864809927077486
sub-EN108,English,5.073583333333334,27.0,0.1933479866311853,0.011253345452709184,0.06093908675226913,0.23097509896294116,0.422525780991421,0.2743066878406594
sub-EN109,English,5.13688660801564,26.4,0.18853764703973058,0.0,0.18498148892067015,0.3104107190784412,0.08654529122095923,0.41806250077992946
sub-EN110,English,4.309630795461997,32.8,0.2333575830767891,0.0484349310619978,0.16827825916261085,0.3285910268642932,0.0983214121322944,0.35637437077880374
sub-EN113,English,6.824753117390081,19.8,0.1433609459061642,0.0,0.2554697127784219,0.11050871118933789,0.017912667043101828,0.6161089089891384
sub-EN114,English,4.716154170518497,29.2,0.21012624931762236,0.07390601845592659,0.13044528361078778,0.38951541893799896,0.08025797576034309,0.32587530323494357
sub-EN115,English,5.2706156416682735,27.0,0.1908765456261461,0.09460846767031703,0.012113899373618878,0.6350965551010359,0.10487004937171471,0.15331102848331352
sub-CN001,Chinese,4.2097343593756795,34.2,0.23660767296476096,0.1805812155360753,0.06804988028576195,0.419961961140409,0.25388547402569683,0.0775214690120568
sub-CN002,Chinese,5.228850241545894,27.2,0.19086713271788186,0.0013157894736842105,0.08008494472190208,0.35487660896323975,0.42293337718328117,0.14078927965789279
sub-CN003,Chinese,4.723157550861535,30.4,0.21100745255086398,0.02638035173090878,0.06019050474006295,0.5272436233250678,0.20561924469435033,0.1805662755096101
sub-CN004,Chinese,7.404565434565434,19.8,0.13984514759581987,0.0,0.032472050508931025,0.768416007947318,0.032069300379903534,0.16704264116384748
sub-CN005,Chinese,5.0508974358974355,28.4,0.199831294116734,0.007894736842105263,0.3372497545567081,0.2393977714137146,0.11268015343601205,0.30277758375146
sub-CN006,Chinese,5.02004357298475,28.4,0.19784742352452686,0.02165071770334928,0.20883721968047747,0.13344446190681306,0.4100510483241947,0.22601655238516552
sub-CN007,Chinese,5.822688963210703,25.0,0.17386984520580373,0.003947368421052632,0.09249787541182086,0.5026122248221749,0.08727405635300371,0.31366847499194794
sub-CN008,Chinese,5.58212201591512,27.0,0.1861441440917046,0.07858187134502924,0.009859883894651469,0.47128221321940106,0.2455362790408891,0.1947397525000291
sub-CN009,Chinese,5.1832795698924725,27.6,0.19233528135756334,0.02890109314427409,0.15456995036806792,0.2845955230367447,0.1759783777071522,0.3559550557437611
sub-CN010,Chinese,10.407350427350428,14.0,0.09892703446295456,0.00583941605839416,0.020895518768165713,0.8228173979518582,0.07973821969211904,0.0707094475294629
sub-CN011,Chinese,5.209283964347731,28.2,0.198606163440009,0.06959728867623605,0.04779823785298237,0.5188327764778015,0.16103757513669154,0.20273412185628858
sub-CN013,Chinese,6.135705577946957,23.2,0.16306228826878078,0.014553429027113238,0.27894892063159443,0.08436836672526261,0.4486451142232933,0.17348416939273642
sub-CN014,Chinese,5.157669368080937,27.2,0.1891613988521403,0.006060606060606061,0.05193453940092434,0.3442553657978168,0.37085288148484463,0.2268966072558082
sub-CN015,Chinese,6.53831711896228,24.0,0.16631877747897725,0.021708392026294446,0.04667448592727117,0.2782072065254931,0.5549544620232288,0.09845545349771243
sub-CN016,Chinese,5.478478942347008,26.0,0.1814973593018157,0.040875912408759124,0.09869255365797817,0.24270533805205335,0.4481701863040703,0.16955600957713907
sub-CN017,Chinese,4.591530439530439,31.0,0.21607149093703065,0.07967676185597815,0.17179483075084306,0.39306651804250725,0.19139211942707907,0.1640697699235924
sub-CN018,Chinese,6.167484206614642,22.8,0.1598150638152559,0.023024181499978657,0.012854825628548255,0.6001897577387397,0.2520281085926495,0.1119031265400839
sub-CN019,Chinese,4.6388010702582445,30.2,0.21141922490366594,0.015537433497479597,0.22674521822139954,0.13815508135523502,0.39455203203762557,0.22501023488826025
sub-CN020,Chinese,4.308625242211581,33.0,0.23082568869641476,0.0015151515151515152,0.21314751432884355,0.26158089733291423,0.2919227814060699,0.23183365541702078
sub-CN021,Chinese,6.3544516659810775,22.0,0.1532116691308009,0.0,0.03355049728945234,0.06705190592051906,0.44488745503440086,0.45451014175562776
sub-CN022,Chinese,4.051819066453213,34.8,0.24380750454991712,0.005263157894736842,0.026796635195597933,0.2633089442251947,0.3869162233165307,0.3177150393679399
sub-CN023,Chinese,5.263355915142826,27.4,0.19012638874336915,0.0,0.037086093357703034,0.26263984446850375,0.34340286266429176,0.35687119950950147
sub-CN024,Chinese,4.9171507056929045,28.6,0.19870181841464976,0.005626520681265207,0.0647169932129594,0.3717412309805702,0.3788736384203154,0.17904161670488986
sub-CN025,Chinese,5.800775298625197,26.6,0.18507447700206056,0.040804947283049474,0.13024370675638441,0.4238845912059511,0.13197388793815995,0.273092866816455
sub-CN026,Chinese,5.059416445623342,27.4,0.19170658758153952,0.01847494344132838,0.1157351463152462,0.48811006724952166,0.1506420330853677,0.227037809908536
sub-CN027,Chinese,5.8440782798958555,27.0,0.18898289463982892,0.03268897193215288,0.032978992770579404,0.5363491328963861,0.2766753687470168,0.12130753365386479
sub-CN028,Chinese,4.259747474747475,32.8,0.2286996453198912,0.08524201872742018,0.1912701253798065,0.22919475197615805,0.26945705615509685,0.2248360477615184
sub-CN029,Chinese,5.402838660161175,27.0,0.1868998280926825,0.003947368421052632,0.10512195524200903,0.26000239622502397,0.4117496032161802,0.21917867689573414
sub-CN030,Chinese,5.68786907342307,24.6,0.17178983457316152,0.12511685234985276,0.2575293367792407,0.11504402457149288,0.37648527146222116,0.1258245148371925
sub-CN031,Chinese,4.669287783080887,31.2,0.2181780831752019,0.011416799574694311,0.16458529784980033,0.08211489656457002,0.48230218046775863,0.2595808255431767
sub-CN032,Chinese,5.607941108810674,25.2,0.17692483808503784,0.02519795535066376,0.09059345859672405,0.43919137591822954,0.26209205966697324,0.18292515046740943
sub-CN033,Chinese,6.22908072319837,23.2,0.16178137502570847,0.0013157894736842105,0.16330084362642946,0.44324841771537893,0.2594659134565012,0.13266903572800612
sub-CN034,Chinese,4.653162393162393,30.4,0.21070554760047652,0.00583941605839416,0.026099838182051017,0.4660143986930387,0.276919356841562,0.22512699022495414
sub-CN036,Chinese,4.38373356911288,32.4,0.2247541686554364,0.024926900584795318,0.19677130505981832,0.1872791010372647,0.2890729228512555,0.3019497704668661
sub-CN037,Chinese,4.718760822510822,30.0,0.20836020597833887,0.02345210654373159,0.12220684563654213,0.2442842757191585,0.2701643305898012,0.3398924415107665
sub-FR001,French,5.74997823432606,26.6,0.17552329119532745,0.39373687374568317,0.2139167581125799,0.018820301484535062,0.2947995375417978,0.07872652911540402
sub-FR002,French,5.0987250797595625,28.8,0.19177065026297344,0.14364364765195373,0.12381487804467921,0.24183239204633616,0.09017337794710058,0.40053570430993035
sub-FR003,French,10.377944937944937,16.4,0.10575212095473863,0.5090984794961638,0.3234133083466081,0.0391077601409844,0.09604876071903506,0.032331691297208545
sub-FR004,French,5.485778619528619,27.0,0.17873906031972986,0.04082387282991361,0.2458095708687201,0.01887594191646545,0.5958624755063215,0.09862813887857935
sub-FR005,French,8.255565323565325,18.6,0.1217339439426024,0.09422973578145992,0.6254344978835289,0.008275862068965517,0.2456882587099048,0.0263716455561409
sub-FR006,French,5.297439150887426,27.6,0.1844580775741108,0.38770870908172694,0.0686623479399719,0.14397237955002867,0.3247763798820934,0.07488018354617902
sub-FR007,French,6.324797160243407,23.6,0.15702241681602366,0.23082668710531787,0.4634355977081877,0.01692628736424357,0.2648578930066471,0.023953534815603784
sub-FR008,French,5.499827586206896,27.4,0.18150083424057753,0.24843031002733995,0.3646496386881487,0.13032436257832686,0.22698219254096424,0.0296134961652203
sub-FR009,French,6.176973886328725,26.0,0.1730888186966717,0.4193576965978174,0.2310587870076921,0.07624274517554155,0.21134385044528514,0.06199692077366379
sub-FR010,French,7.840629629629629,20.0,0.13544555296631813,0.20823864422278718,0.6471237782904031,0.0327223812801462,0.10242777775372791,0.009487418452935695
sub-FR011,French,6.587420581538228,25.0,0.16349239592003245,0.007142857142857143,0.4329595752374509,0.011904761904761904,0.42210449432699615,0.12588831138793383
sub-FR012,French,9.711742424242425,15.6,0.10490102314290586,0.610075123469284,0.2679916741444554,0.09942237987543803,0.0,0.02251082251082251
sub-FR013,French,6.348738612836439,23.4,0.15743861594604108,0.003976712942230184,0.698453300859543,0.004109972041006524,0.19530164385311627,0.098158370304104
sub-FR014,French,5.459649587270555,27.0,0.18027514257567115,0.0,0.6266048360951457,0.032950778436557436,0.15288910482718687,0.18755528064111
sub-FR015,French,7.898214285714286,21.4,0.14323053902716626,0.005353032907777433,0.059082851307870186,0.09341363861499778,0.7440988134456548,0.09805166372369997
sub-FR016,French,7.417971014492754,20.6,0.1367641741754503,0.31385398738784087,0.5158296356672898,0.05935624830540511,0.06952225138734074,0.04143787725212341
sub-FR017,French,5.518502164502165,26.6,0.1764129971315977,0.05835718569043513,0.5023259767558786,0.06196389776304199,0.30199895318319686,0.07535398660744748
sub-FR018,French,5.8380978924457185,25.8,0.17366213531957303,0.34087132133948145,0.3059080230952871,0.05260264743023364,0.29174647426346395,0.00887153387153387
sub-FR019,French,4.8335514294134985,30.8,0.20623576845827035,0.1630378135072321,0.37133314035528986,0.10857003961836582,0.3304494569948887,0.026609549524223574
sub-FR020,French,7.811862420733389,19.8,0.1308935472388782,0.5916068029810793,0.24499028793013186,0.11391424819061366,0.029746575184531387,0.01974208571364373
sub-FR022,French,4.885164203612479,30.6,0.20193712776521738,0.10862516307645931,0.39368830824280104,0.087096895356397,0.2026000899484413,0.2079895433759013
sub-FR023,French,5.599012622720897,26.4,0.174647178092937,0.4325841806712686,0.2523402090706395,0.10549745222159017,0.1369179209576894,0.07266023707881246
sub-FR024,French,5.638888295410035,26.8,0.1784597479399896,0.5193171532449157,0.15597258092098262,0.13318423622350126,0.08034141093542049,0.11118461867517997
sub-FR025,French,5.324639991497954,29.0,0.19118641961707655,0.06172306010463574,0.33382448748544896,0.17570449310192576,0.27864660107297917,0.1501013582350104
sub-FR026,French,4.792031875108261,30.8,0.2035922864264168,0.09255892066111045,0.44845260307002066,0.030806227545467413,0.30479690378759094,0.12338534493581058
sub-FR028,French,4.981808302566521,30.6,0.20300483452257928,0.056771740016139716,0.3887964825518312,0.10832643509713732,0.39036348355376793,0.055741858781123824
sub-FR029,French,10.521732026143791,18.0,0.11657638118373082,0.23560055353158801,0.3223381192359295,0.3452971197798784,0.05311442355237976,0.04364978390022438
sub-FR030,French,5.261921659119935,28.2,0.18712350647789863,0.003976712942230184,0.536577051144129,0.12387535500170788,0.21430812733229043,0.12126275357964258
