subject,language,mean_dwell_time,n_transitions,flexibility,state_0_fraction,state_1_fraction,state_2_fraction,state_3_fraction,state_4_fraction
sub-EN074,English,5.258256532562088,28.88888888888889,0.1939706774663023,0.25136109976566845,0.03936042044105726,0.26765778920819633,0.11689792657712846,0.3247227640079495
sub-EN075,English,5.139254637882089,28.22222222222222,0.19247860344689613,0.18200115402265069,0.13734416139278519,0.08218570403228925,0.017416998113303547,0.5810519824389713
sub-EN076,English,4.476573928944618,32.0,0.21855240029338485,0.18969142204914258,0.10829011749166975,0.2832368415645074,0.30739279456182467,0.11138882433285552
sub-EN077,English,7.296467005394209,20.666666666666668,0.1412409218809713,0.3910847840846057,0.004738745479486221,0.02825369248761182,0.5495348291069783,0.026387948841317975
sub-EN078,English,5.1895566615284965,29.11111111111111,0.1969216089927259,0.33501394965840153,0.05246894084786838,0.25191752578990384,0.18190880397281461,0.17869077973101163
sub-EN079,English,5.55143828168676,27.444444444444443,0.1838531685407332,0.342193023194161,0.1758317161105784,0.12281714076426074,0.08865793548832751,0.2705001844426724
sub-EN081,English,4.548672602907653,32.44444444444444,0.21923429796473093,0.3880342699690355,0.1058461853624052,0.13056404468759106,0.17988022207304738,0.1956752779079209
sub-EN082,English,5.066777227108826,28.666666666666668,0.19653182359623056,0.10880080794809006,0.13370024844182235,0.1687309485974121,0.2939037342558971,0.2948642607567783
sub-EN083,English,6.186860808412532,23.444444444444443,0.1611049969807617,0.05302326931506916,0.18645882124694768,0.06833347696546287,0.01453168534334632,0.6776527471291739
sub-EN084,English,5.2048377548377545,29.0,0.19843200427488775,0.09324363004873547,0.2573094065088655,0.26569849218436686,0.20952141234725052,0.17422705891078158
sub-EN086,English,4.58748383295762,32.77777777777778,0.22407507106635327,0.2876351443949328,0.1724331728670925,0.22316654617086407,0.27852768002853506,0.03823745653857546
sub-EN087,English,4.136209344622793,35.22222222222222,0.24069596504939078,0.3015896176013218,0.11784891748130694,0.23630634842906417,0.1285114481087859,0.21574366837952114
sub-EN088,English,5.3965879045244405,27.0,0.1858723476740778,0.3412099088596323,0.06882366803233379,0.13366095431287833,0.3684337271123836,0.08787174168277201
sub-EN089,English,4.668060833291111,32.22222222222222,0.22005617992226825,0.1367850915477786,0.2089039609141205,0.26345499278997936,0.037896827595951366,0.35295912715217015
sub-EN091,English,5.0636417222939185,29.77777777777778,0.20049107132192187,0.32868794166459064,0.05612970446402857,0.10412421006895872,0.2541905111263622,0.25686763267605994
